read1	blaTEM	98.5	115	2e-19	198
read2	blaTEM	98.0	116	3e-19	196
read3	blaTEM	97.5	117	4e-19	194
read4	blaTEM	97.0	118	5e-19	192
read5	blaCTXM	96.5	135	8e-19	200
read6	blaCTXM	96.0	136	1e-18	198
read7	blaCTXM	95.5	134	2e-18	196
read8	blaCTXM	95.0	133	3e-18	194
read9	sul1	95.5	98	2e-16	176
read10	sul1	95.0	99	3e-16	174
read11	sul1	94.5	97	4e-16	172
read12	sul1	94.0	96	5e-16	170
read13	sul1	93.5	95	6e-16	168
read14	sul1	93.0	94	7e-16	166
read15	sul1	92.5	93	8e-16	164
read16	sul1	92.0	92	9e-16	162
read17	sul1	91.5	91	1e-15	160
read18	sul1	91.0	90	2e-15	158
