read1	blaTEM	99.0	120	1e-20	200
read2	blaTEM	98.5	118	5e-19	195
read3	blaTEM	97.0	121	2e-18	190
read4	blaTEM	96.0	119	1e-17	188
read5	blaCTXM	97.5	140	3e-19	205
read6	blaCTXM	96.2	138	2e-18	200
read7	blaCTXM	95.8	139	4e-18	198
read8	blaCTXM	95.0	141	6e-18	196
read9	sul1	96.0	100	1e-16	180
read10	sul1	95.0	99	2e-16	178
read11	sul1	94.5	101	3e-16	176
read12	sul1	94.0	102	4e-16	174
read13	tetA	95.5	110	8e-17	185
read14	tetA	95.0	111	1e-16	183
read15	tetA	94.5	109	2e-16	181
read16	tetA	94.0	108	3e-16	179
read17	tetA	93.5	112	4e-16	177
read18	tetA	93.0	113	5e-16	175
read19	tetA	92.5	114	6e-16	173
read20	tetA	92.0	115	7e-16	171
